,left,top,width,height,conf,text
142,129,209,24,63,"Piełner-Mühle,"
139,175,95,17,88,Piekok
138,263,84,24,41,"Pienki,"
138,308,122,20,42,Pierzów
130,334,98,49,47,"Pieſchz,"
138,377,194,20,50,Pieterkowice
139,428,104,23,37,"Pietna,"
135,653,173,24,37,"Pietraschowitz,"
135,698,142,23,0,Pietraszyn
134,744,115,22,60,"Pietrki,"
137,811,169,19,66,Pietrkosice
137,834,165,23,45,"Pietrowice,"
138,862,192,23,69,"Pietruchowe,"
136,913,191,19,45,Pietrzkowice
133,957,73,22,79,"Pietze,"
135,1346,100,24,76,"Pietziske,"
135,1391,81,24,85,"Pießky,"
133,1482,63,17,64,Piła
134,1528,66,21,26,"Pilawa,"
133,1550,111,22,67,"Pilawa,"
132,1617,122,24,75,"Pilchowitz,"
657,1373,52,20,81,"Pilcz,"
657,1396,81,20,27,"Pilczicz,"
656,1418,82,22,90,"Piley,"
656,1441,143,23,73,"Pilgerimishayn,"
655,1485,147,24,60,"Pilgersdorf,"
