left,top,width,height,conf,text
270,586,202,43,36,"Kalita,"
275,675,176,44,92,"Kalkau,"
278,1787,224,46,86,"Kalkberg,"
274,1832,247,43,84,"Kalkbruch,"
273,1875,261,44,64,"Kalkhäuser an der Lehne,"
271,1964,235,45,89,"Kalkhaus,"
270,2053,229,45,78,"Kalkleipe,"
270,2098,259,45,92,"Kalkmühle,"
271,2189,351,43,36,"Kalkowsky,."
269,2586,248,47,55,"Kalkreuth,"
280,3167,161,45,92,"Kallen,"
1331,669,266,46,88,"Kallendorf,"
1334,1202,425,57,39,"Kalligel-Vorwerk,"
1331,1296,240,44,87,"Kallina,"
1332,1922,181,36,41,"Kallnauu," 
1332,1965,395,42,0,"Kały," 
1334,2008,183,44,92,"Kalmke," 
1331,2098,287,44,83,"Kalowiec,"
1332,2186,232,46,90,"Kaltasche,"
1332,2275,220,45,91,"Kaltdorf,"
1330,2723,129,37,96,"Kalte Berg,"
1331,2857,359,47,66,"Kaltebortschen,"
1329,2947,205,46,82,"Kaltecke,"
1329,3035,235,48,46,"Kaltefloß,"
1327,3126,281,47,92,"Kaltenberg,"
1330,3215,286,44,94,"Kaltenborn,"
1330,3258,406,45,40,"Kalten-Briesnitz,"
