left,top,width,height,conf,text
278,1784,303,46,75,Seyfersdorf
275,1832,263,42,89,Seyfredisdorf
273,1924,202,31,96,Seiendorff
271,2021,254,46,65,Sgorsellitz
274,2486,154,39,89,Sheditz
274,2532,190,39,74,Shutilowe
274,2621,572,35,78,Siadła Góra ist Schadegur
278,2711,593,36,43,Sialkowice ist Schalkowitz
279,2757,627,35,77,Siamarzowice ist Schammerwitz
284,2855,227,46,91,Sibischau
280,3275,224,40,90,Sibotendorf
1321,255,238,40,84,Sibotendorff
1321,343,280,42,95,Sich dich für
1325,1193,431,42,48,Sidłów ist Schiedlow
1325,1244,316,43,89,Siebeneichen
1325,2231,328,45,88,Siebenhäuser
1322,2320,329,45,75,Siebeuhäuser
1326,2460,243,37,58,Siebenhuben
1326,2591,312,46,88,Siebenhufen
1326,2727,305,45,79,Siebenhufen
1325,2818,305,44,89,Siebenhufen
1323,3221,308,47,89,Siebenhufen
