left,top,width,height,conf,text
272,453,295,46,74,Pfaffendorf
287,770,286,47,93,Pfaffendorf
284,1927,282,50,94,Pfaffendorf
284,2572,284,45,48,"Pfaffendorf, Nied.- u. Ob.-"
1356,579,305,48,0,Pfaffengrund
1330,679,332,46,71,Pfaffenmühle
1330,945,291,48,13,Pfaffensteig
1329,1030,284,45,89,Pfaffindorf
1330,1086,268,44,73,Pfarräcker
1331,1310,297,45,90,Pfarrmühle
1332,1400,291,46,90,Pfarroggen
1338,1710,206,56,85,Pfeilgut
1340,1805,413,44,88,Pfeil oder Geiermühle
1336,1895,336,44,64,Pflaumendorf
1332,2282,372,50,92,Philippinenhof
1332,2388,287,47,91,Philippolis
1336,2479,323,46,89,Philippsdorf
1332,2840,309,45,74,Philippsfeld
1330,2935,228,39,89,Phaffendorf
1331,3021,290,44,88,Piadauschke
