left,top,width,height,conf,text
295,261,250,35,88,Zabiniec ist Sabinetz
292,304,223,58,88,Zabinietz
296,361,258,43,59,Źabinka
292,461,171,46,91,Zabiok
293,511,166,37,68,Zabiraw
292,598,197,44,91,Zabkow
294,651,477,39,87,Źabków ist Zabkow
295,762,133,36,85,Zablat
294,853,156,38,84,Zabloto
293,937,185,46,79,Zabnig
292,1039,496,35,84,Źabnek ist Ziobnig
294,1089,120,39,88,Zabor
292,1141,248,41,27,Zaborce
292,1603,310,42,74,"Zabrze, Alt-"
295,2559,213,43,81,Zabrze
296,2650,447,41,82,"Zahrze, Klein-"
1348,574,248,43,65,Zabrzeg
1343,981,242,40,24,Zabrzeg
1343,1524,221,38,50,Zacchericz
1342,1613,258,38,40,Zachaniowitz
1340,1699,306,47,85,Zacharzowitz
1337,2152,297,41,56,Zachciala
1338,2292,505,36,67,Zachery auch Oppirschicz
1342,2379,168,38,65,Zacheris
1343,2469,250,31,91,Zachinkirche
1347,2607,161,36,88,Zachrov
1344,2691,319,45,51,Zackenhäuser
1346,2833,170,37,32,Zackraw
1346,2924,149,35,91,Zacrow
1343,3009,142,43,91,Zadel
