left,top,width,height,conf,text
266,1289,189,43,66,Utrata
272,1380,200,43,84,Utrata
273,1470,342,37,0,Utrate-Mühle
271,1557,298,46,63,Utschendorf
250,1892,158,76,91,Uttig
271,2713,229,46,81,Valentin
252,2763,372,99,5,Valeska-Hütte
274,2901,212,42,72,Valkinhain
274,2991,262,41,78,Vantzkovicze
269,3079,219,46,86,Varothe
270,3169,304,46,90,Vatermühle
270,3259,343,37,71,Vaters Segen
1340,259,158,38,72,Vaescou
1339,304,165,35,55,Vchilsko
1339,396,139,33,83,Vconar
1340,486,150,34,40,Vdanyn
1340,576,168,35,58,Vegbütel
1337,664,136,41,34,Veiovo
1330,706,387,44,82,Verlorenwasser
1336,1468,341,38,74,Verlorne Post
1336,1557,192,44,71,Verona
1335,1647,437,43,48,Versail oder Fährsaal
1335,1737,313,46,89,Vettermühle
1341,1833,231,28,56,Vezuro cona
1339,1921,88,49,19,Vgis
1339,2010,113,37,46,Viasd
1331,2034,496,56,92,Vikarei oder Fütterei
1331,2142,190,43,48,Vicarie
1328,2231,360,46,85,Vicariengrund
1330,2375,172,44,93,Victor
1331,2475,392,46,91,Victorkretscham
1335,2576,374,43,73,Viedweidmühle
1335,2676,188,43,41,Vichau
