left,top,width,height,conf,text
284,267,159,37,39,Flaki ist Flaffen,
284,356,198,50,0,"Flegelei,"
284,443,425,48,91,"Fleischer-Rüstern,"
284,487,405,48,85,"Fleischervorwerk,"
287,675,230,37,92,"Fleischoern,"
288,807,261,41,0,"Flemigisdorff,"
285,897,255,45,77,"Flensberg,?<-S"
290,1121,201,52,91,"Flögelei,"
290,1211,217,48,35,"Flößelwitz,??"
293,1301,275,52,50,"Flößhäuser,"
293,1389,401,53,34,"Flößwärterhaus,"
299,1483,300,42,42,"Floreizna,"
297,1570,301,51,60,"Florensdorf,"
290,1595,140,51,94,"Florentine,"
300,1708,198,50,68,"Florian,"
299,1798,182,50,92,Florian oder Florianshof??
301,1896,284,44,78,"Floriansdorf,"
309,2630,630,52,75,"Florianshof oder Florian,"
310,2720,260,56,24,"Florsdorf,"
312,2823,247,51,91,"Florsdorf,"
312,2882,152,48,91,"Floste,"
1331,344,124,43,69,"Flucht,"
1330,388,700,46,65,"Fluchthäuser oder die Neuhäuser,"
1330,478,709,48,91,"Fluchthänſer oder Kapellendörfel,"
1331,572,236,39,88,"Fochswinkil,"
1332,613,227,49,62,"Förstchen,"
1331,975,134,46,65,"Förstel,"
1331,1021,180,46,72,"Försterei,"
1338,1202,220,48,95,"Försterei,"
1339,1429,211,46,91,"Förstgen,"
1347,2470,235,37,56,"Fogelgesang,"
1344,2516,219,37,90,"Fogelsdorff,"
1349,2561,222,37,45,"Fogelsdorft,"
1344,2603,170,48,50,"Fohlung,"
1351,2647,480,48,96,"Folge oder Folgehäuser,"
1357,2737,284,49,79,Folgehäuser
1358,2827,286,49,88,"Folgemühle,"
1358,2919,520,47,76,"Folgenau oder Folgehäuser,"
1358,3008,323,49,80,"Folgenhäuser,"
1357,3098,650,49,80,"Follmersdorf (von Waldemar),"
