left,top,width,height,conf,text
273,262,370,42,80,"Baumgarten, Ober-"
269,1107,286,45,51,Baumsdorf
269,1198,497,42,47,Baunau
270,1511,266,44,48,Bauschwitz
269,1955,268,44,73,"Bauschwitz, Hoch-"
267,2448,267,44,57,Bauschwitz
266,3077,133,41,61,Bausse
271,3167,176,43,67,Bautke
1335,473,204,44,46,Bautsch
1326,970,233,47,42,Bautze
1330,1057,174,43,56,Bawek
1331,1103,214,43,90,Bawelke
1331,1197,266,38,64,Baumgarthen
1330,1284,238,38,77,Baumgartin
1330,1331,186,35,47,Bautsche
1331,1376,208,37,79,Bayzanum
1331,1418,195,40,82,Bazan
1330,1462,195,41,75,Bazan
1329,1556,115,37,92,Beata
1330,1596,160,42,93,Beata
1331,1639,263,43,86,Beatenhof
1332,1727,286,44,87,Beatenthal
1331,1816,297,43,21,Beatenwald
1326,1951,195,44,70,Beatsch
1327,2040,185,45,82,Bechau
1327,2451,154,35,91,Bechow
1327,2495,175,35,90,Bechowo
1329,2529,308,45,0,Beckenmühle
1327,2624,201,43,44,Beckern
1308,3114,226,52,88,Beckern
