level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,2,1,1,270,348,234,44,91,Liebichau
5,1,2,5,1,1,270,1207,237,43,88,Liebichau
5,1,2,7,1,1,271,1751,235,42,89,Liebichau
5,1,2,11,1,1,274,2564,263,44,51,Lieboschütz
5,1,2,12,1,1,275,2611,235,43,69,Liebschütz
5,1,2,13,1,1,280,3108,243,45,79,Liebsdorf
5,1,2,14,1,1,282,3198,241,44,92,Liebsdorf
5,1,4,2,1,1,1332,535,191,46,48,Liebsen
5,1,5,1,1,1,1335,1179,219,44,76,Liebshof
5,1,5,2,1,1,1334,1224,226,44,90,Liebstein
5,1,5,3,1,1,1337,1596,190,45,82,Liednitz
5,1,5,4,1,1,1334,1881,190,46,73,Liegnitz
5,1,5,5,1,1,1332,1970,214,46,53,Liepowitz
5,1,5,6,1,1,1331,2062,194,44,90,Liepsa
5,1,5,7,1,1,1330,2107,250,45,91,Liergrund
5,1,5,8,1,1,1330,2199,137,38,75,Liesch
5,1,5,9,1,1,1331,2285,216,44,92,Liesdorf
5,1,5,10,1,1,1331,2332,167,35,87,Liesk
5,1,5,11,1,1,1333,2375,196,44,90,Lieskan
5,1,5,12,1,1,1331,2510,162,45,83,Lieske
5,1,5,13,1,1,1332,2964,302,44,65,Liesvorwerk
5,1,5,14,1,1,1332,3056,202,43,89,Ligota
5,1,5,15,1,1,1332,3102,188,44,91,Ligota
5,1,5,16,1,1,1332,3194,124,40,89,Ligota
5,1,5,17,1,1,1332,3284,191,43,91,Ligota
